"case","values","mt","phase"
"Marie",58,1,"A"
"Marie",56,2,"A"
"Marie",60,3,"A"
"Marie",63,4,"A"
"Marie",51,5,"A"
"Marie",45,6,"A"
"Marie",44,7,"A"
"Marie",59,8,"A"
"Marie",45,9,"A"
"Marie",39,10,"A"
"Marie",83,11,"B"
"Marie",65,12,"B"
"Marie",70,13,"B"
"Marie",83,14,"B"
"Marie",70,15,"B"
"Marie",85,16,"B"
"Marie",47,17,"B"
"Marie",66,18,"B"
"Marie",77,19,"B"
"Marie",75,20,"B"
"Marie",51,21,"C"
"Marie",87,22,"C"
"Marie",80,23,"C"
"Marie",68,24,"C"
"Marie",70,25,"C"
"Marie",56,26,"C"
"Marie",52,27,"C"
"Marie",70,28,"C"
"Marie",83,29,"C"
"Marie",63,30,"C"
"Rosalind",47,1,"A"
"Rosalind",41,2,"A"
"Rosalind",47,3,"A"
"Rosalind",52,4,"A"
"Rosalind",54,5,"A"
"Rosalind",65,6,"A"
"Rosalind",55,7,"A"
"Rosalind",37,8,"A"
"Rosalind",51,9,"A"
"Rosalind",60,10,"A"
"Rosalind",60,11,"A"
"Rosalind",65,12,"A"
"Rosalind",55,13,"A"
"Rosalind",46,14,"A"
"Rosalind",49,15,"A"
"Rosalind",54,16,"B"
"Rosalind",77,17,"B"
"Rosalind",73,18,"B"
"Rosalind",97,19,"B"
"Rosalind",64,20,"B"
"Rosalind",84,21,"B"
"Rosalind",71,22,"B"
"Rosalind",66,23,"B"
"Rosalind",74,24,"C"
"Rosalind",78,25,"C"
"Rosalind",68,26,"C"
"Rosalind",52,27,"C"
"Rosalind",76,28,"C"
"Rosalind",63,29,"C"
"Rosalind",54,30,"C"
"Lise",50,1,"A"
"Lise",45,2,"A"
"Lise",63,3,"A"
"Lise",53,4,"A"
"Lise",66,5,"A"
"Lise",57,6,"A"
"Lise",35,7,"A"
"Lise",45,8,"A"
"Lise",74,9,"A"
"Lise",63,10,"A"
"Lise",47,11,"A"
"Lise",45,12,"A"
"Lise",47,13,"A"
"Lise",36,14,"A"
"Lise",51,15,"A"
"Lise",55,16,"A"
"Lise",35,17,"A"
"Lise",66,18,"A"
"Lise",59,19,"A"
"Lise",55,20,"A"
"Lise",73,21,"B"
"Lise",60,22,"B"
"Lise",85,23,"B"
"Lise",62,24,"B"
"Lise",79,25,"B"
"Lise",69,26,"B"
"Lise",87,27,"B"
"Lise",76,28,"C"
"Lise",90,29,"C"
"Lise",48,30,"C"
